Idioms	Meaning	Hindi Meaning	Year
Apple pie order	In perfect order	पूर्णतः व्यवस्थित	2023
A pipe dream	An unreal hope	एक अवास्तविक आशा	2023
At cross purposes	Disagreeing with each other's ideas	एक दूसरे के विचारों से असहमत होना	2023
By the ear	By improvisation	तात्कालिकता द्वारा	2023
Out of the blue	Unexpectedly	अप्रत्याशित रूप से	2023
You snooze, you loose	If you are not alert, you are likely to miss opportunities	यदि आप सतर्क नहीं हैं, तो आप अवसर खो सकते हैं	2023
No smoke without fire	There's always some reason for a rumour	किसी भी अफवाह के पीछे हमेशा कोई न कोई कारण होता है	2023
Call it a day	Stopped working	काम करना बंद कर दिया	2023
Gets on my nerves	Irriates	चिढ़ाता है	2023
Familiarity breeds contempt	The better you know someone the less you like him	आप किसी को जितना बेहतर जानते हैं, वह आपको उतना ही कम पसंद आता है	2023
In a soup	In trouble	मुसीबत में	2023
To pour cold water on	To discourage doing something	किसी काम को करने से हतोत्साहित करना	2023
Hard nut to crack	A problem difficult to solve	एक समस्या जिसका समाधान करना कठिन है	2023
First and foremost	Highest priority	सर्वोच्च प्राथमिकता	2023
Treading on thin ice	To be in a dangerous risky position	खतरनाक जोखिम भरी स्थिति में होना	2023
Dance attendance	Obey someone's every wish	किसी की हर इच्छा का पालन करें	2023
Bird's eye view	Aeria view // A general view from above	एरिया दृश्य // ऊपर से एक सामान्य दृश्य	2023
Get up on the wrong side of the bed	Start the day in a bad mood, which continues all day long	दिन की शुरुआत ख़राब मूड से होती है, जो पूरे दिन बना रहता है	2023
Like a cakewalk	Easy task	आसान काम	2022
All eyes	Watching eagerly	उत्सुकता से देख रहे हैं	2022
In weal and woe	In prosperity and adversity	समृद्धि और विपत्ति में	2022
A green horn	Inexperienced person	अनुभवहीन व्यक्ति	2022
Bag and baggage	With all of one's possessions	अपनी सारी संपत्ति के साथ	2022
in cold blood	deliberately	जान-बूझकर	2022
A skeleton in the cupboard	An embarrassing fact to be kept secret	एक शर्मनाक तथ्य जिसे गुप्त रखा जाना चाहिए	2022
Fly into a passion	To become angry suddenly	अचानक क्रोधित हो जाना	2022
Break the ice	Make people meeting first time feel more comfortable	पहली बार मिलने वाले लोगों को अधिक सहज महसूस कराएं	2022
Beat around the bush	Avoid the main point by talking in a roundabout way	घुमा-फिराकर बात करके मुख्य मुद्दे से बचना	2022
To smell a rat	To have reason to suspect	संदेह करने का कारण होना	2022
Fair and square	Honestly	ईमानदारी से	2022
at an arm's length	At a distance	दूरी पर	2022
Cut a poor figure	To put a bad impression	बुरा प्रभाव डालने के लिए	2022
Bear the palm	To be a winner	विजेता बनने के लिए	2022
Bob's your uncle!	It becomes easily and quickly achievable	यह आसानी से और शीघ्रता से प्राप्त किया जा सकता है	2022
beating about the bush	Speaking in a confusing manner without giving a correct answer	सही उत्तर दिए बिना भ्रमित करने वाले तरीके से बोलना	2022
hit me below the hand	hit me below the belt	मुझे कमर के नीचे मारा	2022
Himalayan blunder	grave errror	गंभीर त्रुटि	2022
donkey's years	a very long time	बहुत समय पहले	2022
In hot waters	To be in trouble	मुसीबत में होना	2022
Quicken the pulse	made some people exicited or interested	कुछ लोगों को उत्साहित या रुचिकर बनाया	2022
Latin and Greek	Incomprehensible	समझ से बाहर	2022
elbow room	very little freedom	बहुत कम स्वतंत्रता	2022
On the ball	To be alert	चौकन्ना होना	2022
yellow bellies	Cowards	डरपोक	2022
A rolling stone gathers no moss	A person who does not settle in one place for a long time, does not gain wealth, name or fame	जो व्यक्ति लम्बे समय तक एक ही स्थान पर नहीं रहता, उसे धन, नाम या प्रसिद्धि नहीं मिलती।	2022
born with a silver spoon in his mouth	born to riches and luxury	धन और विलासिता में जन्मे	2022
an olive branch	gesture of peace	शांति का संकेत	2022
cock and bull story	Wildly exaggerated or falsified story	अत्यधिक अतिरंजित या झूठी कहानी	2022
in full swing	very active	बहुत सक्रिय	2022
let the cat out of the bag	To allow a secret to be known, usually without intending to	किसी रहस्य को ज्ञात होने देना, आमतौर पर बिना किसी इरादे के	2022
Take something at face value	Accept something as it looks without thinking about whether it might, in fact, not be quite what it appears	किसी चीज़ को जैसी वह दिखती है वैसी ही स्वीकार करें, बिना यह सोचे कि क्या वह वास्तव में वैसी नहीं है जैसी वह दिखती है	2022
Turn over a new leaf	To begin again	फिर से शुरू करने के लिए	2022
A fair-weather friend	A selfish friend	एक स्वार्थी मित्र	2022
Cudgel one's brain	To think hard	कठिन सोचना	2022
come in handy	Be useful	उपयोगी बनें	2022
Play it by ear	To do something without special prepration	बिना किसी विशेष तैयारी के कुछ करना	2022
On cloud nine	Very happy	बहुत खुश	2022
Heart in the right place	Someone is good even if they sometimes behave in a wrong manner	कोई व्यक्ति अच्छा होता है, भले ही वह कभी-कभी गलत तरीके से व्यवहार करता हो	2022
Down the tubes	Failing completely	पूरी तरह से विफल	2022
put his food down	refused to yield	झुकने से इनकार कर दिया	2022
Fair-weather friends	A person whose friendship cannot be relied on in times	एक ऐसा व्यक्ति जिसकी दोस्ती पर कभी भरोसा नहीं किया जा सकता	2022
cold feet	feel too frightened to do something	कुछ करने में बहुत डर लगना	2022
greenhorn	Inexperienced	अनुभवहीन	2022
face the music	To accept unpleasant consequences	अप्रिय परिणामों को स्वीकार करना	2022
Lose your marbles	To go insane	पागल हो जाना	2022
He's sitting on the fence	He can't take a decision	वह कोई निर्णय नहीं ले सकता	2022
take with a grain of salt	Not take too seriously	बहुत गंभीरता से न लें	2022
to and fro	Forward and backward	आगे और पीछे	2022
Eat humble pie	To apologise humbly	विनम्रतापूर्वक क्षमा मांगना	2022
by leaps and bounds	Swiftly	तेजी से	2022
Red tape	Official rules and bureaucracy that make it difficult to do something	आधिकारिक नियम और नौकरशाही जो कुछ करना मुश्किल बना देते हैं	2022
in black and white	in writing	लेखन में	2022
Steer clear of	Avoid somone or something because it is dangerous for you	किसी व्यक्ति या चीज़ से बचें क्योंकि वह आपके लिए खतरनाक है	2022
Hold water	Appear to be valid or reasonable	वैध या उचित प्रतीत होना	2022
slow and steady	Make consistent progress for success	सफलता के लिए निरंतर प्रगति करें	2022
ins and outs	Detailed description	विस्तृत विवरण	2022
went pear-shaped	Went terribly wrong	बहुत ग़लत हुआ	2022
Aladdin's cave	a place that contains many interesting objects	एक ऐसी जगह जिसमें कई दिलचस्प वस्तुएं हों	2022
